policy_number;start_date;end_date;cancellation_date;premium;discount;year
260;07.12.2018;07.12.2019;;167,7226363;5,874148828;2018
261;08.05.2018;08.05.2019;08.05.2019;217,9199339;2,145933647;2018
262;16.01.2017;16.01.2018;;165,2824119;4,168550048;2017
264;16.10.2017;16.10.2018;16.10.2018;260,2638317;0,402908627;2017
265;07.07.2018;07.07.2019;07.07.2019;190,4911119;0,235967246;2018
266;11.09.2017;11.09.2018;11.09.2018;168,9589534;16,36965736;2017
267;12.05.2018;12.05.2019;12.05.2019;223,1030131;0,215288786;2018
268;24.12.2016;24.12.2017;24.12.2017;250,5843676;0,158053016;2016
270;07.07.2016;07.07.2017;07.07.2017;182,6418514;0,477142985;2016
272;30.05.2016;30.05.2017;;162,875934;0,04845565;2016
273;03.07.2017;03.07.2018;03.07.2018;127,7086677;0,380816881;2017
274;20.07.2019;20.07.2020;;185,8983958;25,70033356;2019
275;17.03.2018;17.03.2019;17.03.2019;387,9294309;0,869721266;2018
276;24.04.2016;24.04.2017;24.04.2017;139,8915475;0,080942414;2016
277;18.06.2018;18.06.2019;;123,0145861;0,225135843;2018
278;22.10.2017;22.10.2018;;131,9770613;8,754016135;2017
279;31.03.2016;31.03.2017;31.03.2017;167,2265363;4,461212525;2016
280;13.05.2018;13.05.2019;;111,2514925;0,412986196;2018
281;02.12.2016;02.12.2017;02.12.2017;125,3775658;0,85342645;2016
282;19.02.2019;22.02.2019;;121,1577104;7,758888285;2019
283;13.01.2017;13.01.2018;13.01.2018;180,3638315;0,853001469;2017
284;27.03.2017;27.03.2018;27.03.2018;148,1863152;0,248723753;2017
285;07.05.2017;07.05.2018;07.05.2018;159,7872407;0,549817055;2017
286;16.10.2019;16.10.2020;;168,9788219;0,563363722;2019
287;28.09.2019;28.09.2020;;299,4446846;0,135081129;2019
290;08.05.2018;08.05.2019;;167,4197485;9,738142025;2018
291;24.01.2019;02.05.2019;28.01.2019;202,1236098;20,50525979;2019
292;08.10.2019;08.10.2020;;116,7424886;19,97367613;2019
293;05.08.2018;05.08.2019;;158,0587249;3,300702019;2018
294;03.11.2017;03.11.2018;22.02.2018;118,7587016;0,152376032;2017
295;02.12.2019;02.12.2020;;280,5538884;1,067447952;2019
296;12.09.2017;12.09.2018;20.07.2018;208,4380997;0,15174132;2017
297;02.05.2019;02.05.2020;;225,18897;0,716628354;2019
298;21.07.2017;21.07.2018;21.07.2018;174,7589486;0,831734602;2017
299;05.06.2016;05.06.2017;05.06.2017;183,7385233;8,447169836;2016
300;06.03.2017;06.03.2018;06.03.2018;99,86648019;0,870298031;2017
303;19.01.2019;19.01.2020;19.01.2020;202,5995185;15,97063955;2019
304;13.04.2018;13.04.2019;13.04.2019;227,3216589;0,269614576;2018
305;23.03.2017;23.03.2018;04.02.2018;177,123428;0,476597273;2017
307;21.08.2016;21.08.2017;21.08.2017;176,0941467;0,102288527;2016
308;15.09.2016;15.09.2017;15.09.2017;160,9130445;0,47171204;2016
309;17.10.2017;17.10.2018;17.10.2018;193,3857943;15,09296964;2017
310;17.02.2017;17.02.2018;24.12.2017;303,426198;0,196815735;2017
311;06.12.2016;06.12.2017;06.12.2017;107,0298161;23,92905917;2016
312;03.07.2016;03.07.2017;;322,4501654;0,84926458;2016
314;16.04.2019;16.04.2020;;235,3732823;30,88161994;2019
315;27.02.2016;27.02.2017;27.02.2017;162,7627697;0,017078462;2016
316;14.01.2017;14.01.2018;26.10.2017;226,6071492;0,631487588;2017
318;17.03.2016;17.03.2017;;228,9837927;0,413251245;2016
319;06.05.2018;06.05.2019;06.05.2019;154,7533569;0,808022939;2018
320;02.09.2017;02.09.2018;;150,4890003;0,299968857;2017
321;29.06.2016;29.06.2017;29.06.2017;196,8259233;0,67971774;2016
322;08.11.2016;08.11.2017;08.11.2017;165,6686072;0,063549242;2016
323;13.10.2016;13.10.2017;13.10.2017;163,9216438;0,743857857;2016
324;04.06.2017;04.06.2018;04.06.2018;112,7537329;0,579965437;2017
325;30.07.2016;30.07.2017;30.07.2017;163,4415708;0,428468267;2016
326;10.10.2016;10.10.2017;19.05.2017;133,1547186;0,965873388;2016
327;17.09.2019;17.09.2020;;220,2671582;0,489341705;2019
328;13.01.2018;13.01.2019;;176,5956435;8,894697167;2018
329;17.10.2016;17.10.2017;;242,2790194;0,006055842;2016
330;11.12.2019;11.12.2020;;195,3202939;0,495768897;2019
331;12.10.2016;12.10.2017;;166,5751554;22,37175847;2016
332;23.03.2017;23.03.2018;23.03.2018;176,0029477;0,034337189;2017
333;06.07.2016;06.07.2017;;228,3624133;5,499584382;2016
334;16.07.2019;16.07.2020;;290,945418;0,538999305;2019
335;28.05.2016;28.05.2017;28.05.2017;218,9456654;14,66000293;2016
336;04.10.2019;04.10.2020;;198,6549197;4,917610328;2019
337;26.08.2017;26.08.2018;18.11.2017;264,6872888;0,921965248;2017
338;22.10.2016;22.10.2017;22.10.2017;206,6497253;0,995150044;2016
339;02.05.2016;02.05.2017;02.05.2017;226,7413355;0,622793348;2016
340;15.12.2017;15.12.2018;;145,4636253;0,849620579;2017
341;11.09.2016;11.09.2017;11.09.2017;123,1440983;0,543904915;2016
342;06.03.2018;06.03.2019;06.03.2019;297,511409;0,647135013;2018
343;13.11.2018;13.11.2019;;120,3818795;15,12369758;2018
344;17.10.2016;17.10.2017;17.10.2017;231,497494;7,955686609;2016
345;26.03.2016;26.03.2017;26.03.2017;209,2449783;0,795629343;2016
346;21.01.2018;21.01.2019;;147,3575223;2,579826137;2018
347;22.01.2017;22.01.2018;;204,905321;0,989862217;2017
348;06.09.2016;06.09.2017;;259,2962382;0,116649406;2016
349;18.12.2016;18.12.2017;;122,898797;5,443296042;2016
351;01.12.2017;01.12.2018;;209,3158539;0,236289948;2017
352;23.10.2016;23.10.2017;;117,5450186;0,440544571;2016
357;04.12.2016;04.12.2017;;125,0272789;0,457255894;2016
359;20.09.2017;20.09.2018;03.11.2017;183,053018;0,277078036;2017
360;04.03.2016;04.03.2017;04.03.2017;115,7966338;5,468396722;2016
361;24.03.2019;24.03.2020;;311,827122;0,093825583;2019
362;30.11.2016;30.11.2017;30.11.2017;168,3031738;0,691699449;2016
363;25.05.2017;25.05.2018;;167,8914691;0,539284705;2017
364;21.06.2017;21.06.2018;21.06.2018;206,295252;8,09396662;2017
365;14.02.2016;07.02.2017;07.02.2017;187,5232892;0,977259627;2016
366;11.11.2017;11.11.2018;;267,9509994;0,630493836;2017
371;02.11.2018;02.11.2019;;167,4028227;0,026176835;2018
372;11.09.2019;11.09.2020;;354,7397359;0,752821863;2019
373;20.08.2018;20.08.2019;;261,9256084;0,515363996;2018
374;14.12.2018;18.01.2019;18.01.2019;595,5767934;0,377877157;2018
376;25.10.2016;25.10.2017;25.10.2017;170,7550489;0,381466171;2016
377;05.11.2017;05.01.2018;;276,8118631;9,843208657;2017
378;20.03.2016;20.03.2017;20.03.2017;323,968598;0,689419888;2016
379;30.04.2019;30.04.2020;;151,6604737;0,197707998;2019
380;30.06.2017;30.06.2018;23.07.2017;180,2651815;0,476120126;2017
381;31.03.2018;31.03.2019;;174,5793523;0,976616911;2018
382;06.05.2016;30.04.2017;30.04.2017;184,3530194;5,83129376;2016
383;18.04.2018;18.04.2019;;115,8405375;2,751976509;2018
384;04.01.2019;04.01.2020;29.11.2019;216,5539509;2,62333094;2019
386;03.08.2018;03.08.2019;;351,2377487;17,55867203;2018
387;30.10.2018;13.02.2019;13.02.2019;235,5363959;0,306403441;2018
388;12.07.2017;12.07.2018;12.07.2018;149,1139254;0,263893818;2017
389;08.08.2016;08.08.2017;08.08.2017;385,3551896;0,414476357;2016
390;16.09.2017;16.09.2018;;192,9515766;0,580607351;2017
392;18.12.2016;18.12.2017;;124,6596644;0,9417158;2016
394;22.07.2016;22.07.2017;22.07.2017;135,0952298;1,968204161;2016
396;04.12.2019;04.12.2020;;335,0991831;0,287617403;2019
398;28.03.2016;28.03.2017;28.03.2017;187,1951494;0,263988643;2016
399;14.03.2016;14.03.2017;14.03.2017;202,3025551;0,385052861;2016
400;05.05.2016;05.05.2017;27.04.2017;332,6943122;0,822382256;2016
401;02.02.2018;02.02.2019;;178,2797175;0,315455735;2018
402;27.08.2016;27.08.2017;27.08.2017;269,7373975;0,450325248;2016
403;04.06.2019;04.06.2020;17.10.2019;311,0662643;7,301498343;2019
405;07.10.2016;25.01.2017;25.01.2017;169,9856051;5,511470576;2016
406;11.09.2017;11.09.2018;;237,925364;10,93941087;2017
407;25.09.2019;25.09.2020;;216,347049;0,873242049;2019
408;28.09.2018;28.09.2019;;244,3792482;3,353313018;2018
409;27.07.2017;27.07.2018;27.07.2018;195,949221;0,367517614;2017
410;07.02.2018;07.02.2019;07.02.2019;201,0614646;0,581212272;2018
411;30.12.2019;30.12.2020;;229,6707087;5,738573298;2019
412;16.12.2018;16.12.2019;;247,8801064;4,705746211;2018
413;15.12.2018;15.12.2019;;161,2139787;30,30282761;2018
414;19.04.2017;19.04.2018;19.04.2018;211,9162355;0,137911431;2017
415;11.03.2017;11.03.2018;;91,68932026;0,775674133;2017
417;02.08.2016;02.08.2017;02.08.2017;299,2826036;0,25391992;2016
418;28.01.2016;28.01.2017;28.01.2017;276,6811389;0,107429193;2016
420;18.11.2018;25.10.2019;21.12.2018;213,8943301;18,00958246;2018
421;05.07.2016;05.07.2017;05.07.2017;348,7058871;0,963843134;2016
422;04.11.2016;04.11.2017;;133,8841236;0,650210963;2016
424;23.08.2017;23.08.2018;23.08.2018;311,6907523;3,377172005;2017
426;31.07.2018;31.07.2019;;252,5432916;16,32897094;2018
429;08.06.2016;08.06.2017;08.06.2017;685,5004442;0,958005439;2016
430;04.08.2018;04.08.2019;;588,3044825;0,071544986;2018
431;04.03.2017;04.03.2018;04.03.2018;496,0602651;0,388385595;2017
432;30.06.2019;30.06.2020;;241,8720808;0,000506235;2019
433;12.10.2017;12.10.2018;27.05.2018;221,8739278;5,24613938;2017
434;21.05.2016;21.05.2017;21.05.2017;522,6240641;0,995924941;2016
435;09.06.2016;09.06.2017;09.06.2017;184,2339633;0,040568958;2016
436;30.05.2016;30.05.2017;30.05.2017;404,5852813;8,919252067;2016
438;27.05.2016;27.05.2017;27.05.2017;423,2388647;2,559653025;2016
440;29.11.2016;29.11.2017;29.11.2017;202,6705395;0,995904376;2016
441;12.05.2017;12.05.2018;12.05.2018;369,51378;0,89908835;2017
442;24.11.2016;19.04.2017;19.04.2017;399,5237249;0,699407861;2016
443;24.10.2017;24.10.2018;24.10.2018;472,9043406;5,956378178;2017
444;07.10.2017;07.10.2018;13.08.2018;195,8584114;0,853884853;2017
445;04.03.2017;04.03.2018;08.02.2018;122,2347261;0,269992911;2017
447;13.08.2016;13.08.2017;;72,39102889;0,485587373;2016
449;01.12.2017;01.12.2018;01.12.2018;196,4640892;0,729913865;2017
451;19.07.2018;19.07.2019;;220,2363932;0,131314233;2018
452;04.08.2017;04.08.2018;04.09.2017;286,968476;5,67733096;2017
455;12.09.2017;12.09.2018;;273,0987245;0,368979211;2017
456;13.04.2016;13.04.2017;13.04.2017;186,914946;5,158613982;2016
457;17.04.2018;17.04.2019;;231,3058732;0,805664176;2018
458;14.04.2019;14.04.2020;;156,636272;1,632232637;2019
459;03.04.2017;10.03.2018;10.03.2018;363,223373;0,237033691;2017
460;14.07.2019;19.02.2020;;308,9442695;0,097079787;2019
462;18.04.2017;18.04.2018;18.04.2018;445,6210599;3,417691518;2017
463;07.11.2016;07.11.2017;05.03.2017;363,337123;0,962814631;2016
464;14.12.2018;14.12.2019;12.11.2019;239,2447042;0,319633264;2018
465;19.02.2017;19.02.2018;19.02.2018;319,8677103;25,25966965;2017
466;14.05.2018;14.05.2019;;256,1449403;4,694130184;2018
469;10.06.2019;10.06.2020;;467,1646925;1,013745995;2019
470;12.01.2016;12.01.2017;12.01.2017;314,0588182;2,909050388;2016
472;01.07.2018;19.03.2019;02.07.2018;236,4558352;0,618068331;2018
473;19.05.2017;19.05.2018;19.05.2018;176,8551472;10,38923757;2017
474;09.08.2016;09.08.2017;17.03.2017;465,9369322;0,589322251;2016
475;19.02.2017;19.02.2018;19.02.2018;462,2968886;2,618543116;2017
476;11.11.2017;11.11.2018;;499,9642766;0,686591357;2017
477;11.11.2019;11.11.2020;;498,0966247;0,245260591;2019
478;27.07.2017;27.07.2018;16.10.2017;383,8868305;0,116045424;2017
480;21.07.2016;21.07.2017;;148,4465395;6,854355351;2016
481;29.12.2017;29.12.2018;29.12.2018;223,1753592;0,929948792;2017
482;17.10.2016;11.09.2017;11.09.2017;178,7695049;10,56349065;2016
483;28.12.2018;28.12.2019;;573,7664577;0,384237762;2018
484;17.05.2018;17.05.2019;;367,1138408;0,330630171;2018
485;29.07.2017;06.01.2018;06.01.2018;343,2412634;10,71051543;2017
486;04.12.2019;04.12.2020;;375,5037102;0,841654839;2019
487;02.02.2019;02.02.2020;;203,9377568;20,13128485;2019
489;19.12.2018;19.12.2019;;305,8840774;5,382934934;2018
490;24.04.2017;27.08.2017;27.08.2017;284,2302765;0,750678057;2017
491;19.10.2016;19.10.2017;;155,6266924;0,506138511;2016
492;17.11.2018;17.11.2019;;147,4282036;20,37999346;2018
